scenario,scenario_label,budget_eur,recommendation_rank,oem,model,brand_group,price_eur,budget_utilization,price_tier,segment,spec_score_0_100,value_score,performance_to_price_ratio,market_price_discount_ratio,expected_market_price_eur,market_underpriced_outlier,is_value_outlier,ram_gb,storage_gb,battery_capacity_mah,main_camera_max_mp,network_generation,recommendation_reason
2,일반 직장인,400,1,Infinix,Hot 9 Pro,Other,110.0,0.275,budget,Mid-range,40.96779642698111,37.243451297255554,0.37243451297255553,0.3346720196902103,165.33199152210892,False,True,4.0,64.0,5000.0,48.0,4.0,"PPR=0.372, value=37.24, spec=41.0, market_discount=33.5%, RAM=4GB, camera=48MP"
2,일반 직장인,400,2,YU,Yureka Black,Other,99.0,0.2475,budget,Mid-range,35.51177354945666,35.87047833278451,0.35870478332784506,0.5421920441456184,216.24788021702634,False,True,4.0,32.0,3000.0,13.0,4.0,"PPR=0.359, value=35.87, spec=35.5, market_discount=54.2%, RAM=4GB, camera=13MP"
2,일반 직장인,400,3,Panasonic,Eluga Ray 800,Other,110.0,0.275,budget,Mid-range,37.71759632220395,34.28872392927632,0.3428872392927632,0.5188064967543805,228.5982650598086,False,True,4.0,64.0,4000.0,13.0,4.0,"PPR=0.343, value=34.29, spec=37.7, market_discount=51.9%, RAM=4GB, camera=13MP"
2,일반 직장인,400,4,Vodafone,Smart X9,Other,110.0,0.275,budget,Mid-range,36.52714599260335,33.20649635691213,0.33206496356912135,0.48783108616968396,214.77289431205799,False,True,3.0,32.0,3100.0,16.0,4.0,"PPR=0.332, value=33.21, spec=36.5, market_discount=48.8%, RAM=3GB, camera=16MP"
2,일반 직장인,400,5,Micromax,Evok Dual Note E4815,Other,110.0,0.275,budget,Mid-range,34.77043087592692,31.609482614479017,0.3160948261447902,0.4501239944787504,200.0450990687011,False,True,3.0,32.0,3000.0,13.0,4.0,"PPR=0.316, value=31.61, spec=34.8, market_discount=45.0%, RAM=3GB, camera=13MP"
2,일반 직장인,400,6,Realme,1,Realme,130.0,0.325,budget,Mid-range,39.51936690409224,30.399513003147877,0.30399513003147877,0.6116878217268122,334.7821862762738,True,True,6.0,128.0,3410.0,13.0,4.0,"PPR=0.304, value=30.40, spec=39.5, market_discount=61.2%, RAM=6GB, camera=13MP"
2,일반 직장인,400,7,Xiaomi,Redmi 9,Xiaomi,130.0,0.325,budget,Mid-range,39.36396795965098,30.279975353577676,0.30279975353577676,0.47939475394288583,249.70935461095615,False,True,4.0,64.0,5020.0,13.0,4.0,"PPR=0.303, value=30.28, spec=39.4, market_discount=47.9%, RAM=4GB, camera=13MP"
2,일반 직장인,400,8,Xiaomi,Redmi Note 7S,Xiaomi,140.0,0.35,budget,Mid-range,41.85020042232257,29.89300030165898,0.2989300030165898,0.3835530172030537,227.10793289114872,False,True,4.0,64.0,4000.0,48.0,4.0,"PPR=0.299, value=29.89, spec=41.9, market_discount=38.4%, RAM=4GB, camera=48MP"
2,일반 직장인,400,9,Xiaomi,Redmi Note 9 Pro (India),Xiaomi,153.989,0.3849725,mid_range,Mid-range,45.88017318816415,29.79444842694228,0.2979444842694228,0.26919551633918876,210.71162457655504,False,True,6.0,128.0,5020.0,48.0,4.0,"PPR=0.298, value=29.79, spec=45.9, market_discount=26.9%, RAM=6GB, camera=48MP"
2,일반 직장인,400,10,Realme,U1,Realme,130.0,0.325,budget,Mid-range,38.605668458363205,29.696668044894775,0.29696668044894775,0.4828384478833714,251.37212824104685,False,True,4.0,64.0,3500.0,13.0,4.0,"PPR=0.297, value=29.70, spec=38.6, market_discount=48.3%, RAM=4GB, camera=13MP"
