k,inertia,silhouette,davies_bouldin
2,12587.537397335542,0.42224061482672304,1.1833974072739768
3,10113.356741214411,0.26604011396537,1.2877934312165902
4,8981.352764447647,0.2705714950326334,1.2122449197442347
5,8069.0732813428385,0.2700048457595551,1.3214800114661327
6,7104.054211121588,0.2966895667141502,1.190466287983369
7,6357.661366348185,0.3073909567968911,1.1304489398621846
8,5812.359098353249,0.28139399094924133,1.2167952807502047
