segment,count,avg_price_eur,median_price_eur,avg_spec_score_0_100,avg_ram_gb,avg_storage_gb,avg_battery_capacity_mah,avg_main_camera_max_mp,avg_ppi,avg_network_generation
Entry,1026,200.47999892787524,180.0,31.700354644028494,2.54775828460039,32.093933463796475,3591.4324055666,11.471449559255632,291.35185185185185,3.89025641025641
Mid-range,825,325.47848327272726,300.0,37.932294394155555,4.2303030303030305,80.4,3433.5856622114215,17.159151515151514,425.5612121212121,4.0
Flagship,262,589.9252389312977,500.0,51.62825125310834,8.610687022900763,275.2977099236641,4445.432950191571,45.62595419847328,405.59541984732823,4.396946564885496
