scenario,scenario_label,budget_eur,recommendation_rank,oem,model,brand_group,price_eur,budget_utilization,price_tier,segment,spec_score_0_100,value_score,performance_to_price_ratio,market_price_discount_ratio,expected_market_price_eur,market_underpriced_outlier,is_value_outlier,ram_gb,storage_gb,battery_capacity_mah,main_camera_max_mp,network_generation,recommendation_reason
3,프리미엄 유저,800,1,vivo,S1 Pro,vivo,168.03240000000002,0.21004050000000002,mid_range,Flagship,49.02029918480094,29.17312326956047,0.29173123269560475,0.5243273424139434,353.25217314934764,False,True,8.0,128.0,4500.0,48.0,4.0,"PPR=0.292, value=29.17, spec=49.0, market_discount=52.4%, RAM=8GB, camera=48MP"
3,프리미엄 유저,800,2,Xiaomi,Redmi Note 9 Pro Max,Xiaomi,180.0,0.225,mid_range,Flagship,51.71491552597096,28.730508625539414,0.2873050862553942,0.3996725706767998,299.8363746313061,False,True,8.0,128.0,5020.0,64.0,4.0,"PPR=0.287, value=28.73, spec=51.7, market_discount=40.0%, RAM=8GB, camera=64MP"
3,프리미엄 유저,800,3,Xiaomi,Redmi 10X 5G,Xiaomi,200.0,0.25,mid_range,Flagship,52.505291315020706,26.252645657510353,0.26252645657510354,0.49483289459948415,395.90859709963166,False,True,8.0,256.0,4520.0,48.0,5.0,"PPR=0.263, value=26.25, spec=52.5, market_discount=49.5%, RAM=8GB, camera=48MP"
3,프리미엄 유저,800,4,Realme,X50 5G,Realme,223.1907,0.278988375,mid_range,Flagship,57.285515046125646,25.666622778693576,0.25666622778693576,0.4515836733899811,406.9731136190477,False,True,12.0,256.0,4200.0,64.0,5.0,"PPR=0.257, value=25.67, spec=57.3, market_discount=45.2%, RAM=12GB, camera=64MP"
3,프리미엄 유저,800,5,Honor,9X (China),Honor,180.0,0.225,mid_range,Flagship,45.84723478985197,25.470685994362203,0.254706859943622,0.20937308254808712,227.66743204255738,False,True,8.0,128.0,4000.0,48.0,4.0,"PPR=0.255, value=25.47, spec=45.8, market_discount=20.9%, RAM=8GB, camera=48MP"
3,프리미엄 유저,800,6,Xiaomi,Poco X2,Xiaomi,200.0,0.25,mid_range,Flagship,50.91830530834739,25.459152654173696,0.25459152654173695,0.2748423706056837,275.802104112245,False,True,8.0,256.0,4500.0,64.0,4.0,"PPR=0.255, value=25.46, spec=50.9, market_discount=27.5%, RAM=8GB, camera=64MP"
3,프리미엄 유저,800,7,Realme,5 Pro,Realme,185.99070000000003,0.23248837500000005,mid_range,Flagship,46.75505198811299,25.138381643874126,0.2513838164387412,0.1246002770717028,212.46374099576255,False,True,8.0,128.0,4035.0,48.0,4.0,"PPR=0.251, value=25.14, spec=46.8, market_discount=12.5%, RAM=8GB, camera=48MP"
3,프리미엄 유저,800,8,Huawei,Enjoy 10 Plus,Huawei,190.0,0.2375,mid_range,Flagship,45.83059204712796,24.121364235330503,0.24121364235330503,0.34069607911861566,288.1827242070702,False,True,8.0,128.0,4000.0,48.0,4.0,"PPR=0.241, value=24.12, spec=45.8, market_discount=34.1%, RAM=8GB, camera=48MP"
3,프리미엄 유저,800,9,Honor,Play 4T Pro,Honor,200.0,0.25,mid_range,Flagship,47.52794217214172,23.76397108607086,0.2376397108607086,0.3250843016809146,296.3333057715371,False,True,8.0,128.0,4000.0,48.0,4.0,"PPR=0.238, value=23.76, spec=47.5, market_discount=32.5%, RAM=8GB, camera=48MP"
3,프리미엄 유저,800,10,Xiaomi,Redmi Note 8 Pro,Xiaomi,209.9,0.262375,mid_range,Flagship,49.74737413147846,23.70051173486349,0.23700511734863486,0.3737432181048917,335.16603104053274,False,True,8.0,256.0,4500.0,64.0,4.0,"PPR=0.237, value=23.70, spec=49.7, market_discount=37.4%, RAM=8GB, camera=64MP"
