oem,model,brand_group,price_eur,price_tier,launch_year,phone_age,launch_status_group,body_weight_g,display_size_in,screen_to_body_pct,ppi,aspect_ratio,battery_capacity_mah,fast_charging_w,battery_per_inch,battery_per_weight,ram_gb,storage_gb,has_card_slot,main_camera_count,main_camera_max_mp,selfie_camera_count,selfie_camera_max_mp,has_ois,has_ultrawide,has_telephoto,network_generation,has_5g,has_4g_or_more,display_panel,battery_type,os_family,has_wifi,has_bluetooth,has_gps,has_nfc,has_radio,has_usb,has_3_5mm_jack,sensor_count,has_fingerprint,has_face_id,has_accelerometer,has_gyro,has_proximity,has_compass,has_barometer,spec_score_0_100,value_score,price_per_ram_gb,price_per_storage_gb,battery_per_eur,cluster,segment,performance_to_price_ratio,segment_mean_value_score,segment_median_price_eur,value_score_lift_vs_segment,price_discount_vs_segment_median,expected_market_price_eur,market_price_gap_eur,market_price_discount_ratio,market_underpricing_z_in_segment,segment_median_performance_to_price_ratio,market_underpriced_outlier,value_z_in_segment,zscore_value_outlier,isolation_raw_outlier,isolation_value_outlier,is_value_outlier
YU,Yunique 2,Other,66.0,budget,2017.0,9.0,Available,159.0,5.0,65.4,294.0,1.7777777777777777,2500.0,,500.0,15.723270440251572,2.0,16.0,1,1.0,13.0,1.0,5.0,0,0,0,4.0,0,1,IPS LCD,Li-Po,Android,1,1,1,0,1,1,1,2.0,0,0,1,0,1,0,0,30.46328892643822,46.15649837339125,33.0,4.125,37.878787878787875,1,Entry,0.4615649837339124,19.55453646636535,180.0,2.3603984913057094,0.6333333333333333,124.84810653682517,58.84810653682517,0.4713576214267002,1.4366096808161428,0.1772637802030422,False,2.852158872068619,True,True,True,True
Infinix,Smart3 Plus,Other,77.0,budget,2019.0,7.0,Available,148.0,6.21,80.7,271.0,2.111111111111111,3500.0,,563.6070853462157,23.64864864864865,3.0,32.0,1,3.0,13.0,1.0,8.0,0,0,0,4.0,0,1,IPS LCD,Li-Po,Android,1,1,1,0,1,1,1,4.0,1,0,1,0,1,1,0,34.930148039469536,45.363828622687706,25.666666666666668,2.40625,45.45454545454545,1,Entry,0.4536382862268771,19.55453646636535,180.0,2.319862130238447,0.5722222222222222,146.7003753618126,69.7003753618126,0.4751206340809147,1.448411886381877,0.1772637802030422,False,2.767171904942242,True,True,True,True
Xiaomi,Redmi 8A Dual,Xiaomi,80.0,budget,2020.0,6.0,Available,188.0,6.22,81.8,270.0,2.111111111111111,5000.0,18.0,803.8585209003215,26.595744680851062,3.0,32.0,1,2.0,13.0,1.0,8.0,0,0,0,4.0,0,1,IPS LCD,Li-Po,Android,1,1,1,0,1,1,1,3.0,0,0,1,0,1,1,0,36.12321802010553,45.154022525131914,26.666666666666668,2.5,62.5,1,Entry,0.45154022525131915,19.55453646636535,180.0,2.3091328502109367,0.5555555555555556,122.22652646373074,42.226526463730735,0.3454775954568336,1.0418031575235887,0.1772637802030422,False,2.744677311323574,True,True,True,True
TECNO,Camon iACE2,Other,73.69999999999999,budget,2019.0,7.0,Available,150.0,5.5,73.2,293.0,2.0,3050.0,,554.5454545454545,20.333333333333332,2.0,32.0,1,2.0,13.0,1.0,8.0,0,0,0,4.0,0,1,IPS LCD,Li-Po,Android,1,1,1,0,1,1,1,2.0,0,0,0,0,1,0,0,32.70723613062067,44.37888213109997,36.849999999999994,2.3031249999999996,41.38398914518318,1,Entry,0.44378882131099967,19.55453646636535,180.0,2.269492923416189,0.5905555555555556,113.53507605856278,39.83507605856279,0.350861402849771,1.0586887774820022,0.1772637802030422,False,2.66156977362903,True,True,True,True
BLU,Studio Mini,Other,74.4,budget,2019.0,7.0,Available,187.0,5.5,72.5,293.0,2.0,3000.0,,545.4545454545455,16.0427807486631,2.0,32.0,1,1.0,13.0,1.0,8.0,0,0,0,4.0,0,1,IPS LCD,Li-Po,Android,1,1,1,0,1,1,1,2.0,0,0,1,0,1,0,0,32.642490987121406,43.87431584290511,37.2,2.325,40.32258064516129,1,Entry,0.4387431584290511,19.55453646636535,180.0,2.243689893563616,0.5866666666666667,105.54879295217485,31.148792952174844,0.2951127348873488,0.883840245263684,0.1772637802030422,False,2.6074721390090203,True,True,True,True
Ulefone,Note 8P,Other,70.0,budget,2020.0,6.0,Available,153.0,5.5,78.7,192.0,2.171945701357466,2700.0,,490.90909090909093,17.647058823529413,2.0,16.0,1,2.0,8.0,1.0,5.0,0,0,0,4.0,0,1,IPS LCD,Li-Ion,Android,1,1,1,0,1,1,1,1.0,0,0,1,0,0,0,0,30.71163466985285,43.8737638140755,35.0,4.375,38.57142857142857,1,Entry,0.438737638140755,19.55453646636535,180.0,2.2436616633454993,0.6111111111111112,108.31452343438656,38.31452343438656,0.3537339427763467,1.0676981297814834,0.1772637802030422,False,2.6074129526253427,True,True,True,True
Yezz,Max 1,Other,60.45,budget,2018.0,8.0,Available,120.0,5.0,70.5,215.0,2.0,2000.0,,400.0,16.666666666666668,2.0,16.0,1,1.0,8.0,1.0,8.0,0,0,0,3.0,0,0,LCD/TFT,Li-Ion,Android,1,1,1,0,1,1,1,1.0,0,0,1,0,0,0,0,26.329511619536632,43.555850487240086,30.225,3.778125,33.085194375516956,1,Entry,0.43555850487240083,19.55453646636535,180.0,2.2274038846258533,0.6641666666666667,101.41295883648513,40.96295883648513,0.4039223320811735,1.2251075625999606,0.1772637802030422,False,2.573327522428444,True,True,True,True
Infinix,Hot 9,Other,90.0,budget,2020.0,6.0,Available,185.0,6.6,82.8,266.0,2.2222222222222223,5000.0,,757.5757575757576,27.027027027027028,4.0,128.0,1,4.0,16.0,1.0,8.0,0,0,0,4.0,0,1,IPS LCD,Li-Po,Android,1,1,1,0,1,1,1,5.0,1,0,1,1,1,1,0,39.13721922977629,43.48579914419588,22.5,0.703125,55.55555555555556,1,Entry,0.4348579914419588,19.55453646636535,180.0,2.2238215269890618,0.5,161.97330403367798,71.97330403367798,0.4443528794023555,1.3519127781193159,0.1772637802030422,False,2.565816889932159,True,True,True,True
Panasonic,Eluga I5,Other,71.5,budget,2017.0,9.0,Available,145.5,5.0,67.9,294.0,1.7777777777777777,2500.0,,500.0,17.18213058419244,2.0,16.0,1,1.0,13.0,1.0,5.0,0,0,0,4.0,0,1,IPS LCD,Li-Ion,Android,1,1,1,0,1,1,1,3.0,1,0,1,0,1,0,0,31.0260216647935,43.393037293417486,35.75,4.46875,34.96503496503497,1,Entry,0.43393037293417486,19.55453646636535,180.0,2.2190777760472815,0.6027777777777777,151.13569391070237,79.63569391070237,0.5269151968677541,1.6108588759004923,0.1772637802030422,False,2.555871325142171,True,True,True,True
Coolpad,Cool 5,Other,88.0,budget,2019.0,7.0,Available,145.0,6.22,80.9,270.0,2.111111111111111,4000.0,,643.0868167202573,27.58620689655172,4.0,64.0,1,2.0,13.0,1.0,16.0,0,0,0,4.0,0,1,IPS LCD,Li-Po,Android,1,1,1,0,1,1,1,5.0,1,0,1,1,1,1,0,37.82819407219119,42.98658417294453,22.0,1.375,45.45454545454545,1,Entry,0.4298658417294453,19.55453646636535,180.0,2.198292158286816,0.5111111111111111,165.06325887037,77.06325887036999,0.4668710614207035,1.4225381619722002,0.1772637802030422,False,2.512293002697813,True,True,True,True
