scenario,budget_eur,recommendation_rank,oem,model,brand_group,price_eur,budget_utilization,price_tier,segment,spec_score_0_100,value_score,performance_to_price_ratio,market_price_discount_ratio,expected_market_price_eur,market_underpriced_outlier,is_value_outlier,recommendation_reason
premium_flagship,800,4,Realme,X50 5G,Realme,223.1907,0.278988375,mid_range,Flagship,57.285515046125646,25.666622778693576,0.2566662277869357,0.4515836733899811,406.9731136190477,False,True,"PPR=0.257, value=25.67, spec=57.3, market_discount=45.2%, RAM=12GB, camera=64MP"
premium_flagship,800,5,Honor,9X (China),Honor,180.0,0.225,mid_range,Flagship,45.84723478985197,25.470685994362203,0.254706859943622,0.2093730825480871,227.66743204255735,False,True,"PPR=0.255, value=25.47, spec=45.8, market_discount=20.9%, RAM=8GB, camera=48MP"
premium_flagship,800,6,Xiaomi,Poco X2,Xiaomi,200.0,0.25,mid_range,Flagship,50.91830530834739,25.459152654173696,0.2545915265417369,0.2748423706056837,275.802104112245,False,True,"PPR=0.255, value=25.46, spec=50.9, market_discount=27.5%, RAM=8GB, camera=64MP"
premium_flagship,800,7,Realme,5 Pro,Realme,185.99070000000003,0.23248837500000005,mid_range,Flagship,46.75505198811299,25.138381643874126,0.2513838164387412,0.1246002770717028,212.46374099576255,False,True,"PPR=0.251, value=25.14, spec=46.8, market_discount=12.5%, RAM=8GB, camera=48MP"
premium_flagship,800,8,Huawei,Enjoy 10 Plus,Huawei,190.0,0.2375,mid_range,Flagship,45.83059204712796,24.121364235330503,0.241213642353305,0.3406960791186156,288.1827242070702,False,True,"PPR=0.241, value=24.12, spec=45.8, market_discount=34.1%, RAM=8GB, camera=48MP"
entry_second_phone,150,1,Motorola,Moto E6,Motorola,55.79070000000001,0.37193800000000005,budget,Entry,33.04760222254941,59.2349660831454,0.592349660831454,0.5862525648449758,134.84240688790294,True,True,"PPR=0.592, value=59.23, spec=33.0, market_discount=58.6%, RAM=2GB, camera=13MP"
entry_second_phone,150,2,LG,Aristo 2,LG,55.8,0.372,budget,Entry,30.96062656011626,55.48499383533379,0.5548499383533381,0.542812794590316,122.05065964170582,True,True,"PPR=0.555, value=55.48, spec=31.0, market_discount=54.3%, RAM=2GB, camera=13MP"
entry_second_phone,150,3,Micromax,Bharat 4 Q440,Other,55.0,0.36666666666666664,budget,Entry,30.3117432305442,55.11226041917128,0.5511226041917127,0.634179455284067,150.34694140185215,True,True,"PPR=0.551, value=55.11, spec=30.3, market_discount=63.4%, RAM=3GB, camera=5MP"
entry_second_phone,150,4,Nokia,C2 Tennen,Nokia,60.0,0.4,budget,Entry,31.83284269006044,53.05473781676739,0.5305473781676739,0.4135443780526153,102.30953162451404,False,True,"PPR=0.531, value=53.05, spec=31.8, market_discount=41.4%, RAM=2GB, camera=8MP"
entry_second_phone,150,5,Panasonic,P100,Other,58.3,0.38866666666666666,budget,Entry,30.837786358642667,52.89500233043339,0.5289500233043339,0.3816185166443032,94.2783727669696,False,True,"PPR=0.529, value=52.90, spec=30.8, market_discount=38.2%, RAM=2GB, camera=8MP"
entry_second_phone,150,6,Coolpad,Cool 3 Plus,Other,66.0,0.44,budget,Entry,34.31147859820818,51.98708878516391,0.5198708878516392,0.4898896234607997,129.38376287847993,False,True,"PPR=0.520, value=51.99, spec=34.3, market_discount=49.0%, RAM=3GB, camera=13MP"
entry_second_phone,150,7,Lava,Z61,Other,62.7,0.41800000000000004,budget,Entry,31.36317935591302,50.02101970640035,0.5002101970640035,0.4966826952994074,124.57350346278722,False,True,"PPR=0.500, value=50.02, spec=31.4, market_discount=49.7%, RAM=2GB, camera=8MP"
entry_second_phone,150,8,YU,Ace,Other,66.0,0.44,budget,Entry,32.47363370494301,49.20247531051971,0.4920247531051971,0.3703364012534171,104.8178743878168,False,True,"PPR=0.492, value=49.20, spec=32.5, market_discount=37.0%, RAM=2GB, camera=13MP"
