iter	RMSE
397	0.2471119044
398	0.2470376927
399	0.2468780872
400	0.2466850647
401	0.2465648824
402	0.2463940858
403	0.246321223
404	0.2460924993
405	0.2458084606
406	0.2455401287
407	0.2453603753
408	0.2451654732
409	0.2449967675
410	0.244851244
411	0.2447453664
412	0.2445705737
413	0.2443004082
414	0.2441872715
415	0.2439977904
416	0.2437839719
417	0.2436626331
418	0.2434421846
419	0.2431780999
420	0.2430940887
421	0.2429384726
422	0.2427371528
423	0.2425442549
424	0.2423901469
425	0.2421823077
426	0.2420693413
427	0.2417886096
428	0.2415990039
429	0.2414196306
430	0.2412408122
431	0.2410844273
432	0.2408908744
433	0.2406563793
434	0.2404820282
435	0.2402574375
436	0.2400644489
437	0.239789447
438	0.2395351493
439	0.2393149629
440	0.2390864065
441	0.2389153316
442	0.2387813927
443	0.2387187638
444	0.2384730052
445	0.2384171097
446	0.2382579665
447	0.2380141421
448	0.237794463
449	0.2375943445
450	0.2374024926
451	0.2371710206
452	0.2369724975
453	0.2368315214
454	0.2366613115
455	0.2364051778
456	0.2362504129
457	0.2360816603
458	0.2359527993
459	0.2357813326
460	0.2356351908
461	0.2353445841
462	0.2351445176
463	0.2349689682
464	0.2348136729
465	0.2346514867
466	0.2344316905
467	0.2342912501
468	0.2341441718
469	0.2339480759
470	0.2336983406
471	0.2335972043
472	0.2333939012
473	0.2332522511
474	0.2330990381
475	0.2329525412
476	0.2327219235
477	0.2325612747
478	0.2323940262
479	0.2321849572
480	0.2320145865
481	0.2317913013
482	0.2316547225
483	0.2314979566
484	0.2313984902
485	0.2311763419
486	0.2310193983
487	0.2307901232
488	0.230659275
489	0.2304743707
490	0.230377697
491	0.2302028857
492	0.2300425523
493	0.2299185175
494	0.2297553253
495	0.2295450506
496	0.2294251509
497	0.2293004844
498	0.2291573152
499	0.2289114671
500	0.2287738368
501	0.2285606328
502	0.2284926288
503	0.2282642735
504	0.2281362213
505	0.2280383941
506	0.2279081172
507	0.2277677891
508	0.2276317027
509	0.2275546107
510	0.2274705268
511	0.2273185127
512	0.2271744042
513	0.2270128801
514	0.2269309977
515	0.2267892518
516	0.2265998885
517	0.2264909526
518	0.2263584922
519	0.2262338875
520	0.2260535254
521	0.2258772823
522	0.2257249301
523	0.2255279094
524	0.2253147721
525	0.2252064249
526	0.2250628958
527	0.2249487432
528	0.2247389463
529	0.2246134718
530	0.2244694621
531	0.224269886
532	0.2240107693
533	0.2238482929
534	0.2237456489
535	0.2236151677
536	0.2234445568
537	0.2233413416
538	0.2231608028
539	0.2229925415
540	0.2228438779
541	0.2227502478
542	0.2226118604
543	0.2224789586
544	0.2222968567
545	0.2220952701
546	0.2219670237
547	0.2217835964
548	0.2216986928
549	0.2215677253
550	0.221434525
551	0.2213167035
552	0.2211134864
553	0.2210390357
554	0.2209299392
555	0.2207248441
556	0.2206342267
557	0.2205262435
558	0.2202988905
559	0.2201313213
560	0.2200243902
561	0.219891086
562	0.2197755386
563	0.2196236499
564	0.2195161124
565	0.2194245808
566	0.2193127254
567	0.2191574135
568	0.2188788162
569	0.2187074343
570	0.218559391
571	0.218441509
572	0.2182890423
573	0.2181236501
574	0.2179622228
575	0.2178384867
576	0.2176948741
577	0.2175921642
578	0.2174912479
579	0.2173325002
580	0.2172044793
581	0.2170982001
582	0.2170047888
583	0.2169235419
584	0.2168057427
585	0.2166634037
586	0.2165590646
587	0.2164429007
588	0.2163038956
589	0.2161482223
590	0.2160420897
591	0.2158873937
592	0.2157630992
593	0.2155779564
594	0.2153782584
595	0.2152305136
596	0.2151345706
597	0.2149582965
598	0.2148437096
599	0.21477588
